County,Hair_Fair,Hair_Red,Hair_Medium,Hair_Dark,Hair_Jet Black,Eye_Pure blue,Eye_Light,Eye_Medium,Eye_Dark
Aberdeen,28.41,5.46,40.31,24.66,1.12,15.18,30.12,32.88,21.82
Argyll,26.93,5.05,36.94,29.18,1.9,15.16,33.15,31.26,20.43
Ayr,29.34,4.98,40.59,24.02,1.07,16.95,30.75,31.05,21.25
Banff,30.42,6.82,39.45,22.38,0.93,15.44,28.37,32.91,23.28
Berwick,34.4,5.05,36.47,23.16,0.92,16.13,33.79,29.59,20.49
Bute,25.93,5.42,39.41,27.97,1.27,11.87,33.64,33.98,20.51
Caithness,29.13,4.58,39,25.33,1.96,13.98,30.35,31.24,24.43
Clack manna n,29.29,4.05,42.63,23.79,0.24,11.78,33.88,33.51,20.83
Dumbarton,28.61,4.3,39.03,26.67,1.39,13.66,34.78,29.57,21.99
Dumfries,31.44,4.76,39.53,23.08,1.19,13.67,32.27,33.18,20.88
Edinburgh,27.98,5.21,41.6,24.19,1.02,14.21,30.75,32.14,22.9
Elgin,31.72,5.08,37.59,24.05,1.56,19.16,26.21,31.9,22.73
Fife,30.36,4.72,39.48,24.59,0.85,14.75,28.62,32.91,23.72
Forfar,26.02,5.21,41.89,25.48,1.4,15.36,27.79,32.07,24.78
Haddington,30.99,5.35,38.18,24.59,0.89,17.5,31.58,29.5,21.42
Inverness,28.03,4.7,35.61,29.06,2.6,20.45,30.3,26.57,22.68
Kincardine,31.28,5.73,36.46,25.12,1.41,16.21,33.99,29.51,20.29
Kinross,30.23,4.94,42.4,21.48,0.95,12.36,32.7,34.03,20.91
Kirkcudbright,28.63,4.79,38.87,26.4,1.31,14.26,34.37,29.8,21.57
Lanark,24.33,5.05,42.83,26.69,1.1,13.07,30.34,32.95,23.64
Linlithgow,30.6,5.29,40.18,23.13,0.8,15.12,31.42,31.67,21.79
Nairn,31.67,6.21,38.1,23.4,0.62,19.88,28.36,35.82,15.94
Orkney,32.59,4.95,38.23,23.04,1.19,18.26,30.49,32.82,18.43
Peebles,24.8,4.98,47.36,22.05,0.81,12.2,32.01,34.35,21.44
Perth,29.29,5.14,38.4,25.47,1.7,16.04,30.01,31.11,22.84
Renfrew,24.09,4.83,42.85,26.81,1.42,13.95,29.71,33.18,23.16
Ross & Cromarty,30.63,4.97,35.84,26.49,2.07,19.75,29.28,30.77,20.2
Roxburgh,31.34,5.76,38.54,22.99,1.37,16.57,30.94,28.32,24.17
Selkirk,28.69,5.85,44.94,19.41,1.11,17.83,25.63,35.65,20.89
Shetland,33.48,5.67,36.14,23.12,1.59,25.16,24.09,27.46,23.29
Stirling,27.06,4.57,42.59,24.57,1.21,15.08,30.62,31.64,22.66
Sutherland,31.91,4.82,38.07,23.94,1.26,19.12,27.41,27.17,26.3
Wigtown,28.79,4.93,37.72,27.02,1.54,18.88,29.86,18.19,23.07
