r,B,V
1,6.2,0.8
2,10.7,8
3,13.4,17.2
4,7.4,8.9
5,20,10.8
6,8.7,9.8
7,16.6,15.5
8,18.1,12.1
9,12.9,9.4
10,14,7.5
11,13.5,8.9
12,12.5,19.5
13,13.3,5
14,10,10.7
15,15.1,6.3
16,12.8,13.3
17,15.4,10.9
18,10.3,13
19,14.9,11.6
20,16.7,19.2
21,27.2,22.9
22,16.6,9.7
23,19,15.3
24,20.6,16.7
25,20.4,21.7
26,16.3,17.7
27,21.6,22
28,12.6,5.3
29,11.3,8.7
30,11.9,18.2
31,6.5,10.4
32,3.1,7.7
33,12.8,18
34,14.2,22.3
35,15.6,11.4
36,22.2,19.5
37,18.5,20.2
38,10.7,9.9
39,12.9,15.6
40,10.2,7.9
41,15.1,15.7
42,14,11.1
43,10.4,16.6
44,15.1,9.9
45,14.5,13.3
46,28.3,16.3
47,16.9,10.1
48,22,17.6
49,15.7,19.1
50,9.4,16.6
51,9.5,10.4
52,17.9,27.5
53,7.5,12.3
54,12.2,17
55,9,8.8
56,11.3,13.8
57,20.4,21.4
58,15.4,21.5
59,18.1,14.4
60,13.3,20
61,17.4,25.8
62,15.4,17.8
63,14.3,14
64,13.1,12.2
65,18.9,12.6
66,22.2,23.7
67,9.3,16.6
68,8.5,7.7
69,14.4,18
70,8.3,15.8
71,10.3,12.3
72,13.1,15.8
73,24.8,10.3
74,23.9,11.4
75,25.2,23.3
76,19.2,15
77,11.3,4.2
78,15.8,20.9
79,6.7,22.5
80,17.3,21.3
81,17,22.2
