Colony,Colour-size composition A,Colour-size composition B,Colour-size composition C,Colour-size composition D,Colour-size composition E,Colour-size composition F
1,0.119,0.112,0.195,0.191,0.131,0.252
2,0.075,0.146,0.166,0.164,0.192,0.257
3,0.095,0.165,0.254,0.114,0.115,0.255
4,0.169,0.109,0.161,0.149,0.164,0.247
5,0.119,0.185,0.142,0.116,0.195,0.244
6,0.136,0.111,0.158,0.225,0.141,0.23
7,0.084,0.14,0.172,0.175,0.162,0.267
8,0.22,0.09,0.181,0.117,0.139,0.254
9,0.087,0.148,0.193,0.179,0.195,0.197
10,0.095,0.122,0.197,0.175,0.162,0.25
11,0.052,0.219,0.119,0.193,0.185,0.232
12,0.104,0.128,0.17,0.199,0.169,0.23
13,0.106,0.146,0.216,0.169,0.131,0.232
14,0.13,0.112,0.224,0.157,0.136,0.241
15,0.101,0.162,0.193,0.184,0.116,0.244
16,0.053,0.162,0.225,0.184,0.125,0.251
17,0.154,0.1,0.153,0.217,0.145,0.231
18,0.093,0.126,0.197,0.201,0.155,0.228
19,0.085,0.114,0.201,0.149,0.212,0.239
20,0.074,0.1,0.148,0.205,0.225,0.247
