Specimen no.,red sandstone,gray sandstone,crystalline,miscellaneous,Pebble Count
S1,91.8,7.1,1.1,0,282
S2,88.9,10.1,0.5,0.5,368
S3,87.3,10.9,0.8,1,607
S4,84.6,13.5,0,1.9,532
S5,14.7,81.1,0.3,3.6,360
S6,37,36.1,4,22.8,470
S7,34.3,59.8,5.9,0,102
S8,21.5,75,0.4,3.1,544
S9,67.2,31.5,0.3,1,387
S10,49.9,46.9,0.7,2.7,294
S11,18.7,79.3,0.4,1.6,503
S12,11.3,88.2,0.4,0,697
S13,91.1,7.9,0.8,0.3,393
S14,81.7,17.6,0,0.8,665
S15,97.6,2.3,0,0,347
S16,3.4,95.1,0.4,1,791
S17,25.3,71.1,3.6,0,225
S18,56,26.3,2.3,15.4,175
S19,75.1,24.6,0.3,0,333
S20,15.2,80.7,1.9,2.2,269
S21,41.5,36.4,5.1,17,118
S22,19.5,77.9,0,2.6,154
S23,89.1,9.8,1.1,0,276
S24,93.7,5.2,1,0,480
S25,87.9,8.5,0,3.5,373
S26,80.2,18.4,1.4,0,369
S27,83.3,15.1,1.6,0,126
S28,82.6,16.5,0.9,0,460
S29,83.2,14.5,1.6,0.7,441
S30,64.7,34.5,0.8,0,502
S31,58.7,41.2,0,0,126
S32,66.5,28.7,0.8,4,376
S33,89.8,9.3,0.8,0,118
S34,80.5,17.8,0.7,1,303
S35,85.6,12,2.4,0,250
S36,78.4,16.7,12,3.8,582
S37,62.3,31.8,2.8,2.8,69
S38,72.6,22.6,3.1,1.8,226
S39,81.6,10,4.5,3.9,359
S40,65.3,19.9,9.9,4.9,453
S41,95.6,4.2,0.2,0,427
S42,79,16.8,3,1.2,334
S43,92.6,6.3,1.1,0,364
S44,89.5,9.8,0.5,0.1,869
S45,91.2,7.7,1.1,0,441
S46,95.3,3.6,1.1,0,615
S47,91.9,7.5,0.4,0.2,532
S48,89.4,0.7,1,1.9,417
S49,89.4,9.2,1.4,0,360
S50,95.2,3.6,1.2,0,580
S51,95.9,4.1,0,0,147
S52,94,4.8,1.2,0,500
S53,83.4,15.7,0.7,0.2,943
S54,15.7,84.3,0,0,305
S55,7.8,90.6,0.8,0.8,1151
S56,18.2,76.6,0.4,4.8,457
S57,27.5,71.4,1.1,0,637
S58,51.1,46.5,0.3,2.1,284
S59,7,89.4,1.8,1.3,386
S60,80.1,19,0,0.5,221
S61,73.1,23.6,1.4,1.9,208
S62,74.9,14.7,4.7,5.8,573
S63,79.6,17.3,0.7,2.3,565
S64,74.1,20,2.9,2.9,170
S65,73.2,21.5,1.9,3.1,261
S66,0.1,99.9,0,0,1097
S67,77.9,21.1,0,1,408
S68,45.8,33.3,8.3,12.5,24
S69,26.7,39.6,2.9,14.9,890
S70,57.7,35.1,16,3.6,168
S71,54.5,40.9,4.5,0,22
S72,70.5,28.8,0.7,0,601
S73,11.5,87.4,1.1,0,364
S74,27.8,71.9,0.3,0,342
S75,22.4,76.9,0.6,0,867
S76,20.1,78.3,0.1,1.4,691
S77,15.8,83.5,0.6,0,462
S78,91.5,6.6,0.3,1.6,318
S79,90,8.2,1.3,0.4,461
S80,75.7,21,0.6,2.8,777
S81,85.6,13.4,1,0,397
S82,88.5,9.2,1.7,0.5,347
S83,71,25.8,1.5,1.8,744
S84,11.5,86.1,2.3,0.2,576
S85,4.5,95,0,0,321
S86,21.2,72.8,0.8,5.2,382
S87,19.5,78.1,0.8,1.6,645
S88,15,80.6,1.7,2.6,459
S89,27,70.2,1.3,1.5,681
S90,15.9,83.3,0.8,0,245
S91,16.9,74.3,1.2,5.9,575
S92,31.4,65.9,2.7,0,698
