Finalist,Yat,Yee,Sam
Ho,4.63,8.84,7.68
Ho,2.3,8.6,4.97
Ho,1.92,7.63,3.77
Ho,3.16,7.96,5.5
Ip,6.96,7.16,7.91
Ip,8.9,6.59,6.99
Ip,8.41,7.4,7.26
Ip,5.69,6.79,5.35
Jao,10,6.15,6.79
Jao,7.15,4.7,6.44
Jao,13.12,4.14,8.12
Jao,9.13,4.33,5.88
Ko,8.23,8.16,5.79
Ko,6.74,7.14,4.24
Ko,8.13,6.12,5.56
Ko,13.15,5.74,5.64
Lam,4.5,8.14,6.36
Lam,3.7,9.2,6.9
Lam,3.42,6.86,4.98
Lam,4.63,7.27,5.95
Mak,5.28,6.19,7.52
Mak,6.67,5.49,7.46
Mak,5.77,5.38,7.53
Mak,6.35,4.93,7.99
Ng,5.78,6.94,9.32
Ng,5.62,6.98,8.94
Ng,4.66,5.95,8.41
Ng,4.62,7.45,7.18
