Specimen no.,albite,blandite,cornite,daubite,endite
L1,48.7,30.6,2.8,9.5,8.5
L2,49.6,14.5,12.8,15.9,7.3
L3,40.8,11.9,20,9.7,17.7
L4,51.9,24.7,4.6,13.1,5.6
L5,30.1,5.1,47.6,8.4,8.8
L6,51,29.3,4.1,7.6,8
L7,48.9,22,8.7,14.1,6.3
L8,55.5,19.8,7.7,7.6,9.4
L9,20.8,1.6,64.4,7.5,5.7
L10,48.7,19.2,10.6,8.5,13.1
L11,45,39.9,1,8.4,5.7
L12,26.9,3.9,53.8,7.3,8.1
L13,44.8,10.1,22.9,12.6,9.5
L14,28.8,7,46.6,9.3,8.3
L15,53.2,19.6,7.5,12.1,7.5
L16,50.9,17.9,10,14.5,6.7
L17,42.8,11.9,21.9,7.9,15.5
L18,44.5,18.4,13.9,6,17.3
L19,50.7,30,2.9,10.3,6.2
L20,44.7,8.8,24.9,7.3,14.3
L21,25.2,3.2,55.8,6.3,9.4
L22,19.9,2.3,65.5,5,7.4
L23,52,20.4,7.3,11.6,8.7
L24,54.2,20.5,6,12.3,7
L25,41.6,11.1,23.1,14.2,10
