Cat no.,Heart (g),Body (kg)
F1,9.6,2.3
F2,10.6,3
F3,9.9,2.9
F4,8.7,2.4
F5,10.1,2.3
F6,7,2
F7,11,2.2
F8,8.2,2.1
F9,9,2.3
F10,7.3,2.1
F11,8.5,2.1
F12,9.7,2.2
F13,7.4,2
F14,7.3,2.3
F15,7.1,2.2
F16,9,2.3
F17,7.6,2.1
F18,9.5,2
F19,10.1,2.9
F20,10.2,2.7
F21,10.1,2.6
F22,9.5,2.3
F23,8.7,2.6
F24,7.2,2.1
F25,9.8,2.1
F26,10.8,2.7
F27,9.1,2.2
F28,11.2,2.3
F29,8.1,2.1
F30,10.2,2.4
F31,8.5,2.7
F32,10.1,2.3
F33,8.7,2.1
F34,10.9,2.2
F35,7.9,2.3
F36,8.3,2.1
F37,10.1,2.9
F38,13,3
F39,8.7,2.2
F40,6.3,2.4
F41,8.8,2.4
F42,10.9,2.5
F43,9,2.5
F44,9.7,2.3
F45,8.4,2.3
F46,10.1,2.6
F47,10.6,2.3
M1,9.4,2.9
M2,9.3,2.4
M3,7.2,2.2
M4,11.3,2.9
M5,8.8,2.5
M6,9.9,3.1
M7,13.3,3
M8,12.7,2.5
M9,14.4,3.4
M10,10,3
M11,10.5,2.6
M12,8.6,2.5
M13,10,2.8
M14,12.1,3.1
M15,13.8,3
M16,12,2.7
M17,12,2.8
M18,10.1,2.1
M19,11.5,3.3
M20,12.2,3.4
M21,13.5,2.8
M22,10.4,2.7
M23,11.6,3.2
M24,10.6,3
M25,12.7,2.5
M26,15.6,3.5
M27,9.1,2.4
M28,7.6,2.2
M29,12.8,3.4
M30,8.3,2.6
M31,11.2,3.4
M32,9.4,2.6
M33,8,2.7
M34,14.9,3.3
M35,10.7,2.2
M36,13.6,3.2
M37,9.6,2.2
M38,11.7,3.5
M39,9.3,2.5
M40,12.3,3.2
M41,13,3.2
M42,9.6,2.7
M43,7.7,2.6
M44,9.6,2.7
M45,6.5,2
M46,14.3,3.1
M47,7.3,2.4
M48,14.8,3.6
M49,15.7,3.5
M50,13.3,2.8
M51,9.1,2.2
M52,7.9,2.5
M53,7.9,2.4
M54,14.4,3.9
M55,12.5,3.1
M56,11,3.7
M57,12.4,3
M58,13.5,3.2
M59,14.1,3.3
M60,12.7,3
M61,10.1,2.9
M62,10.4,3
M63,7.9,2.4
M64,14.8,3.8
M65,6.5,2
M66,11.5,3.1
M67,9.1,2.8
M68,9.6,2.3
M69,11.6,3
M70,7.9,2.2
M71,12.4,3.4
M72,12.9,3.5
M73,17.2,3.5
M74,16.8,3.8
M75,8.5,2.2
M76,15.4,3.3
M77,9.8,2.7
M78,11.9,3.2
M79,10.6,2.9
M80,13.3,3.6
M81,12.5,2.7
M82,11.8,2.9
M83,15,3.6
M84,10.2,2.8
M85,11,2.5
M86,11.5,2.6
M87,20.5,3.9
M88,12.2,3
M89,9.4,2.6
M90,9,2.7
M91,8.8,2.5
M92,9.6,2.2
M93,13,3.1
M94,12,3.3
M95,11.1,2.7
M96,11.8,3.6
M97,11.4,2.8
