Analyst,Specimen,albumin,pre-albumin,globulin A,globulin B
1,1,0.082,0.238,0.235,0.444
1,2,0.089,0.351,0.267,0.292
1,3,0.083,0.463,0.183,0.271
1,4,0.15,0.29,0.225,0.335
1,5,0.118,0.254,0.222,0.407
1,6,0.076,0.229,0.242,0.453
1,7,0.047,0.202,0.163,0.589
2,1,0.076,0.25,0.243,0.43
2,2,0.093,0.279,0.291,0.336
2,3,0.141,0.293,0.215,0.351
2,4,0.15,0.315,0.187,0.34
2,5,0.143,0.268,0.2,0.389
2,6,0.104,0.243,0.19,0.463
2,7,0.088,0.25,0.079,0.583
3,1,0.094,0.268,0.231,0.407
3,2,0.107,0.286,0.265,0.341
3,3,0.124,0.407,0.186,0.283
3,4,0.126,0.271,0.263,0.341
3,5,0.159,0.353,0.167,0.321
3,6,0.094,0.249,0.168,0.489
3,7,0.078,0.287,0.088,0.547
