Sample no.,Neogloboquadrina atlantica,Neogloboquadrina pachyderma,Globorotalia obesa,Globigerinoides triloba,Depth (m)
F1,0.74,0.19,0.03,0.04,1
F2,0.58,0.29,0.01,0.12,2
F3,0.58,0.19,0.22,0.01,3
F4,0.61,0.28,0.08,0.03,4
F5,0.82,0.13,0.02,0.03,5
F6,0.48,0.38,0.01,0.13,6
F7,0.59,0.38,0,0.03,7
F8,0.76,0.12,0.09,0.03,8
F9,0.81,0.12,0.04,0.03,9
F10,0.68,0.23,0.05,0.04,10
F11,0.72,0.2,0.04,0.04,11
F12,0.62,0.27,0.09,0.02,12
F13,0.45,0.25,0.29,0.01,13
F14,0.66,0.25,0.06,0.03,14
F15,0.85,0.13,0.01,0.01,15
F16,0.75,0.09,0.15,0.01,16
F17,0.69,0.25,0,0.06,17
F18,0.76,0.1,0.11,0.03,18
F19,0.66,0.29,0.01,0.04,19
F20,0.66,0.24,0.06,0.04,20
F21,0.5,0.46,0,0.4,21
F22,0.65,0.25,0.05,0.05,22
F23,0.6,0.35,0.02,0.03,23
F24,0.4,0.27,0.01,0.32,24
F25,0.6,0.1,0.3,0,25
F26,0.6,0.1,0.29,0.01,26
F27,0.59,0.39,0.01,0.01,27
F28,0.58,0.39,0.01,0.02,28
F29,0.61,0.34,0.02,0.03,29
F30,0.39,0.49,0.12,0,30
