Site no.,predator of species P1,predator of species P2,prey of species Q,prey of species R
S1,0.395,0.095,0.311,0.199
S2,0.223,0.205,0.308,0.264
S3,0.17,0.317,0.247,0.266
S4,0.172,0.256,0.357,0.215
S5,0.443,0.192,0.157,0.208
S6,0.269,0.219,0.327,0.185
S7,0.287,0.299,0.213,0.201
S8,0.323,0.199,0.277,0.201
S9,0.305,0.095,0.323,0.277
S10,0.209,0.299,0.291,0.2
S11,0.279,0.241,0.217,0.263
S12,0.426,0.125,0.195,0.254
S13,0.427,0.079,0.383,0.111
S14,0.372,0.141,0.19,0.296
S15,0.09,0.489,0.265,0.157
T1,0.174,0,0.462,0.364
T2,0.253,0,0.381,0.366
T3,0.176,0,0.449,0.375
T4,0.094,0,0.613,0.292
T5,0.313,0,0.224,0.463
T6,0.286,0,0.316,0.398
T7,0.216,0,0.508,0.275
T8,0.149,0,0.477,0.374
T9,0.212,0,0.333,0.455
T10,0.242,0,0.47,0.288
